id;title;from;to;settings
1;28;08:12:00;08:15:00;{"red":255,"green":255,"blue":255}
2;27;08:10:00;08:11:00;{"red":255,"green":255,"blue":240}
3;26;08:05:00;08:06:00;{"red":255,"green":255,"blue":235}
4;25;08:00:00;08:04:00;{"red":255,"green":255,"blue":230}
5;24;07:58:00;07:59:00;{"red":255,"green":245,"blue":50}
6;23;07:55:00;07:56:00;{"red":255,"green":200,"blue":40}
7;22;07:53:00;07:54:00;{"red":200,"green":170,"blue":30}
8;21;07:51:00;07:52:00;{"red":160,"green":150,"blue":22}
9;20;07:49:00;07:50:00;{"red":120,"green":100,"blue":15}
10;19;07:45:00;07:46:00;{"red":90,"green":70,"blue":7}
11;18;07:42:00;07:43:00;{"red":75,"green":60,"blue":5}
12;17;07:40:00;07:41:00;{"red":65,"green":40,"blue":3}
13;16;07:38:00;07:39:00;{"red":50,"green":30,"blue":2}
14;15;07:37:00;07:38:00;{"red":45,"green":25,"blue":2}
15;14;07:35:00;07:36:00;{"red":30,"green":10,"blue":2}
16;13;07:33:00;07:34:00;{"red":10,"green":8,"blue":2}
17;12;07:31:00;07:32:00;{"red":9,"green":6,"blue":2}
18;11;07:30:00;07:29:00;{"red":8,"green":5,"blue":2}
19;10;07:25:00;07:24:00;{"red":6,"green":3,"blue":2}
20;9;07:23:00;07:22:00;{"red":6,"green":3,"blue":2}
21;8;07:20:00;07:21:00;{"red":6,"green":3,"blue":2}
22;7;07:15:00;07:15:00;{"red":6,"green":3,"blue":2}
23;6;07:13:00;07:14:00;{"red":6,"green":3,"blue":2}
24;5;07:05:00;07:06:00;{"red":6,"green":3,"blue":2}
25;4;07:00:00;07:01:00;{"red":5,"green":2,"blue":0}
26;3;06:55:00;06:56:00;{"red":4,"green":0,"blue":0}
27;2;06:53:00;06:54:00;{"red":3,"green":0,"blue":0}
28;1;06:50:00;06:52:00;{"red":2,"green":0,"blue":0}